line_id,date,description,amount,currency,classification,project_code,counterparty,fund,account,account_number,bank_account,mapping_method,rule_id,rule_version,decision_id,source_id,source_excerpt,source_location,close_id,export_profile
L-011,2026-03-25,"NI ABF II MIZARCO S.A R., PAYMENT FROM NORDVIK INFRASTRUCTURE ABF II SCSP, TO TO NI ABF II MIZARCO S.A R.L. PROJECT BOREAS. TOTAL COST (LOAN)",-664295.53,EUR,Investment,BOREAS,NI ABF II MizarCo S.à r.l.,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-009,SRC-PDF-EBB0369A-P2,"3 70,209.88 12:46 25 Mar 2026 Narrative NI ABF II MIZARCO S.A R., PAYMENT FROM NORDVIK INFRASTRUCTURE ABF II SCSP, TO TO NI ABF II MIZARCO S.A R.L. PROJECT BOREAS. TOTAL COST (LOAN) 34487ET23F39 MIZARCO TRF TFR- 25 Mar 20",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-012,2026-03-25,"NI ABF II MIZARCO S.A R., PAYMENT FROM NORDVIK INFRASTRUCTURE ABF II SCSP, TO TO NI ABF II MIZARCO S.A R.L. PROJECT MIZAR. TOTAL COST (LOAN)",-3465688.12,EUR,Investment,MIZAR,NI ABF II MizarCo S.à r.l.,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-010,SRC-PDF-EBB0369A-P2,"734,505.41 12:45 25 Mar 2026 Narrative NI ABF II MIZARCO S.A R., PAYMENT FROM NORDVIK INFRASTRUCTURE ABF II SCSP, TO TO NI ABF II MIZARCO S.A R.L. PROJECT MIZAR. TOTAL COST (LOAN) LRP25958JG3G21PQ NONREF TFR+ 25 Mar 202",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-013,2026-03-25,"NORDVIK INFRASTRUCTURE ADVANCED, TFR+ INTERNAL TRANSFER TO COVER INVOICES, CHARGE WAIVED",4200000.0,EUR,Internal,OVERHEAD,,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-011,SRC-PDF-E54A9C7D-P1,",567,807.35 10:58 31 Mar 2026 Narrative NORDVIK INFRASTRUCTURE ADVANCED, TFR+ INTERNAL TRANSFER, CHARGE WAIVED",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-014,2026-03-24,"LU HBEU 240-149813-131, INTERNAL FX TRANSFER TO COVER INVOICES",-5000.0,EUR,Internal,OVERHEAD,,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-012,SRC-PDF-EBB0369A-P2,"0.00 193.53 08:19 24 Mar 2026 Narrative LU HBEU 240-149813-131, INTERNAL FX TRANSFER TO COVER INVOICES 51300TQ48FS0 MIZARCO TRF TFR- 24 Mar 20",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-015,2026-03-24,"NI ABF II MIZARCO S.A R., PAYMENT FROM NORDVIK INFRASTRUCTURE ABF II SCSP, TO TO NI ABF II MIZARCO S.A R.L., PROJECT GALENE. TOTAL COST (LOAN)",-108724.2,EUR,Investment,GALENE,NI ABF II MizarCo S.à r.l.,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-013,SRC-PDF-EBB0369A-P2,"20 5,193.53 08:07 24 Mar 2026 Narrative NI ABF II MIZARCO S.A R., PAYMENT FROM NORDVIK INFRASTRUCTURE ABF II SCSP, TO TO NI ABF II MIZARCO S.A R.L., PROJECT GALENE. TOTAL COST (LOAN) NONREF NONREF TFR+ INT 24 Mar 2026 50.5",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-016,2026-03-24,CREDIT INTEREST,50.54,EUR,Other,OH - Interest Income,,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-014,SRC-PDF-E54A9C7D-P1,"unt Debit amount Balance Time Post date NONREF NONREF TFR- 31 Mar 2026 -0.44 20,088.32",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-017,2026-03-31,"COMMISSION DKK 44,83, 89732SV16BGK",-44.83,DKK,Other,OH - Bank Fees,,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-131,NI ABF II - Calder - DKK - 4319,decision,,,DEC-015,SRC-PDF-5BFC37A1-P1,"3 12,887.11 10:50 31 Mar 2026 Narrative COMMISSION DKK 44,83, 89732SV16BGK TT JSL083B50KRNM INV SETTLEMENT S+P- 31",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-018,2026-03-31,"ULLA B. HILLEBRANDT CONSULTING, 89732SV16BGK, /DK5899030112098247 78",-24750.0,DKK,Vendor,Flag for review - no project match,Ulla B. Hillebrandt Consulting - Non-LU,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-131,NI ABF II - Calder - DKK - 4319,decision,,,DEC-016,SRC-PDF-5BFC37A1-P1,"0 12,931.94 10:50 31 Mar 2026 Narrative ULLA B. HILLEBRANDT CONSULTING, 89732SV16BGK, /DK5899030112098247 78 TT TYS581R85JJGZ INV SETTLEMENT S+P- CH",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-019,2026-03-31,"COMMISSION DKK 44,83, 55633BC44JQ0",-44.83,DKK,Other,OH - Bank Fees,,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-131,NI ABF II - Calder - DKK - 4319,decision,,,DEC-017,SRC-PDF-5BFC37A1-P1,"3 37,681.94 10:50 31 Mar 2026 Narrative COMMISSION DKK 44,83, 55633BC44JQ0 TT TYS581R85JJGZ INV SETTLEMENT S+P- 31",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-020,2026-03-31,"NIP LIT, 55633BC44JQ0, /DK0441919414619452 RI00034",-46608.0,DKK,Related Party,Flag for review - no project match,NIP P/S,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-131,NI ABF II - Calder - DKK - 4319,decision,,,DEC-018,SRC-PDF-5BFC37A1-P1,"0 37,726.77 10:50 31 Mar 2026 Narrative NIP LIT, 55633BC44JQ0, /DK0441919414619452 RI00034 IJC91823B071SK14 NONREF TFR+ 31 Mar 202",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-021,2026-03-31,"NORDVIK INFRASTRUCTURE ADVANCED, TFR+ INTERNAL FX TRANSFER, FX EUR 10000,00 AT 7,1620422 032424373, CHARGE WAIVED",73602.74,DKK,Internal,OVERHEAD,,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-131,NI ABF II - Calder - DKK - 4319,decision,,,DEC-019,SRC-PDF-5BFC37A1-P1,"4 84,334.77 10:46 31 Mar 2026 Narrative NORDVIK INFRASTRUCTURE ADVANCED, TFR+ INTERNAL FX TRANSFER, FX EUR 10000,00 AT 7,1620422 032424373, CHARGE WAIVED TT EWR783W3NUPCV INV SETTLEMENT S+P- CH",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-022,2026-03-31,"COMMISSION DKK 44,84, 08334GU5571N",-44.84,DKK,Other,OH - Bank Fees,,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-131,NI ABF II - Calder - DKK - 4319,decision,,,DEC-020,SRC-PDF-5BFC37A1-P1,"4 10,732.03 07:00 31 Mar 2026 Narrative COMMISSION DKK 44,84, 08334GU5571N TT EWR783W3NUPCV INV SETTLEMENT S+P- 31",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-023,2026-03-31,"NISC APS, 08334GU5571N, /DK6213128232682559 LO-DK00629",-4121.79,DKK,Related Party,NISC APS,NISC Ltd,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-131,NI ABF II - Calder - DKK - 4319,rule,RULE-206,v1,,SRC-PDF-5BFC37A1-P1,"9 10,776.87 07:00 31 Mar 2026 Narrative NISC APS, 08334GU5571N, /DK6213128232682559 LO-DK00629 01 Apr 2026 | Account number 240-149813",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-024,2026-03-24,"COMMISSION DKK 44,84, 44008EZ203K5",-44.84,DKK,Other,OH - Bank Fees,,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-131,NI ABF II - Calder - DKK - 4319,decision,,,DEC-021,SRC-PDF-8BBC2F3B-P2,"4 14,898.66 08:22 24 Mar 2026 Narrative COMMISSION DKK 44,84, 44008EZ203K5 TT VJW022TY4REJT INV SETTLEMENT S+P- 24",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-025,2026-03-24,"RAQ MARBECK COMMUNICATIONS, 44008EZ203K5, /DK0503692241454564 499",-23800.0,DKK,Vendor,Flag for review - no project match,RAQ Marbeck Communications - Non-LU,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-131,NI ABF II - Calder - DKK - 4319,decision,,,DEC-022,SRC-PDF-8BBC2F3B-P2,"0 14,943.50 08:22 24 Mar 2026 Narrative RAQ MARBECK COMMUNICATIONS, 44008EZ203K5, /DK0503692241454564 499 33411WL46TRZ INTERNALTRANSFER TFR+ 24 M",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-026,2026-03-24,"LU HBEU 240-149813-030, TFR+ INTERNAL FX TRANSFER TO COVER INVOICES, FX EUR 5000,00 AT 7,0193998 524830540",36796.9,DKK,Internal,OVERHEAD,,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-131,NI ABF II - Calder - DKK - 4319,decision,,,DEC-023,SRC-PDF-8BBC2F3B-P2,"0 38,743.50 08:19 24 Mar 2026 Narrative LU HBEU 240-149813-030, TFR+ INTERNAL FX TRANSFER TO COVER INVOICES, FX EUR 5000,00 AT 7,0193998 524830540 01 Apr 2026 | Account number 240-149813",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-027,2026-03-31,"COMMISSION GBP 5,21, 21398DX37I23",-5.21,GBP,Other,OH - Bank Fees,,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-024,SRC-PDF-E15D0BF7-P1,"103,014.97 10:45 31 Mar 2026 Narrative COMMISSION GBP 5,21, 21398DX37I23 TT ABC414K0BGIBU WILLOWBANK TRF S+P- 31",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-028,2026-03-31,"NI V KALVIK TOPCO LTD., 21398DX37I23, /GB40NRVB51407454522412 LOAN: FROM NI V SCSP TO NI V, KALVIK TOPCO LTD.. PROJECT WILLOWBANK",-15701940.2,GBP,Investment,WILLOWBANK,NI V Kalvik Topco Limited,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-025,SRC-PDF-E15D0BF7-P1,"103,020.18 10:45 31 Mar 2026 Narrative NI V KALVIK TOPCO LTD., 21398DX37I23, /GB40NRVB51407454522412 LOAN: FROM NI V SCSP TO NI V, KALVIK TOPCO LTD.. PROJECT WILLOWBANK 43110QR38LHY WILLOWBANK TRF S+P- 31 Mar",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-029,2026-03-31,"NORDVIK INFRA.V CN SC,, SHORT TERM LOAN: FROM NI V SCSP TO NI V CN SCSP . PROJECT WILLOWBANK",-531701.8,GBP,Investment Transfer,WILLOWBANK,NI V CN SCSp,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-026,SRC-PDF-E15D0BF7-P1,",804,960.38 10:45 31 Mar 2026 Narrative NORDVIK INFRA.V CN SC,, SHORT TERM LOAN: FROM NI V SCSP TO NI V CN SCSP . PROJECT WILLOWBANK TT UUJ428T85DPXP INTERNAL TRF S+P- CHG",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-030,2026-03-31,"COMMISSION GBP 5,22, 22801YB03UF8",-5.22,GBP,Other,OH - Bank Fees,,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-027,SRC-PDF-E15D0BF7-P1,",336,662.18 07:10 31 Mar 2026 Narrative COMMISSION GBP 5,22, 22801YB03UF8 TT UUJ428T85DPXP INTERNAL TRF S+P- 31 M",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-031,2026-03-31,"NI V SCSP, 22801YB03UF8, /DK8471936954300848 INTERNAL TRANSFER",-610000.0,GBP,Internal,OVERHEAD,,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-028,SRC-PDF-E15D0BF7-P1,",336,667.40 07:10 31 Mar 2026 Narrative NI V SCSP, 22801YB03UF8, /DK8471936954300848 INTERNAL TRANSFER V400024233703R22 NONREF S+P+ 31 Mar 202",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-032,2026-03-31,"1/NORDVIK INFRASTRUCTURE PARTNER, S+P+ CHARGE WAIVED",16900000.0,GBP,Related Party,Flag for review - no project match,NIP P/S,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-029,SRC-PDF-E15D0BF7-P1,",946,667.40 07:03 31 Mar 2026 Narrative 1/NORDVIK INFRASTRUCTURE PARTNER, S+P+ CHARGE WAIVED Balance brought forward 31 Mar 2026 4",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-033,2026-03-30,"COMMISSION GBP 5,20, 24370KF00HEC",-5.2,GBP,Other,OH - Bank Fees,,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-030,SRC-PDF-63C2EA76-P2,"0 46,667.40 07:00 30 Mar 2026 Narrative COMMISSION GBP 5,20, 24370KF00HEC TT BLH196NB3RGUR AZURITE TRF S+P- 30 Ma",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-034,2026-03-30,"NI V AZURITE HOLDCO LTD, 24370KF00HEC, /GB14NRVB35403891305213 EQUITY: FROM NORDVIK, INFRASTRUCTURE V SCSP TO NI V AZURITE HOLDCO LTD., PROJECT AZURITE.",-249549.75,GBP,Investment,Azurite Array,NI V Azurite HoldCo Limited,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-031,SRC-PDF-63C2EA76-P2,"5 46,672.60 07:00 30 Mar 2026 Narrative NI V AZURITE HOLDCO LTD, 24370KF00HEC, /GB14NRVB35403891305213 EQUITY: FROM NORDVIK, INFRASTRUCTURE V SCSP TO NI V AZURITE HOLDCO LTD., PROJECT AZURITE. TT NWK678RB9JBCQ AZURITE TRF S+P- CHG 3",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-035,2026-03-30,"COMMISSION GBP 5,20, 82924VJ9010W",-5.2,GBP,Other,OH - Bank Fees,,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-032,SRC-PDF-63C2EA76-P2,"296,222.35 07:00 30 Mar 2026 Narrative COMMISSION GBP 5,20, 82924VJ9010W TT NWK678RB9JBCQ AZURITE TRF S+P- 30 Ma",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-036,2026-03-30,"NI V AZURITE HOLDCO LTD, 82924VJ9010W, /GB14NRVB35403891305213 LOAN: FROM NORDVIK, INFRASTRUCTURE V SCSP TO NI V AZURITE HOLDCO LTD., PROJECT AZURITE.",-582282.75,GBP,Investment,Azurite Array,NI V Azurite HoldCo Limited,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-033,SRC-PDF-63C2EA76-P2,"296,227.55 07:00 30 Mar 2026 Narrative NI V AZURITE HOLDCO LTD, 82924VJ9010W, /GB14NRVB35403891305213 LOAN: FROM NORDVIK, INFRASTRUCTURE V SCSP TO NI V AZURITE HOLDCO LTD., PROJECT AZURITE. 59675NX26HUD AZURITE TRF S+P- 30 Mar 20",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-037,2026-03-30,"NORDVIK INFRA.V CN SC,, SHORT-TERM LOAN: FROM NORDVIK, INFRASTRUCTURE V SCSP TO NORDVIK, INFRASTRUCTURE V CN SCSP. PROJECT AZURITE.",-28167.65,GBP,Investment Transfer,Azurite Array,NI V CN SCSp,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-034,SRC-PDF-63C2EA76-P2,"878,510.30 07:00 30 Mar 2026 Narrative NORDVIK INFRA.V CN SC,, SHORT-TERM LOAN: FROM NORDVIK, INFRASTRUCTURE V SCSP TO NORDVIK, INFRASTRUCTURE V CN SCSP. PROJECT AZURITE. Balance brought forward 30 Mar 2026 9",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-038,2026-03-24,"COMMISSION GBP 5,19, 19709GA25RZL",-5.19,GBP,Other,OH - Bank Fees,,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-035,SRC-PDF-63C2EA76-P2,"906,677.95 08:10 24 Mar 2026 Narrative COMMISSION GBP 5,19, 19709GA25RZL TT MLQ644GDVPLTI FENWICK TRF S+P- 24 Ma",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-039,2026-03-24,"NI V FENWICK HOLDCO LTD,, 19709GA25RZL, /GB10NRVB98154047624001 LOAN: FROM NORDVIK INFRASTR, UCTURE V SCSP TO NI V FENWICK HOLDCO LTD.., PROJECT FENWICK.",-1160696.3,GBP,Review,FENWICK,,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-036,SRC-PDF-63C2EA76-P2,"906,683.14 08:10 24 Mar 2026 Narrative NI V FENWICK HOLDCO LTD,, 19709GA25RZL, /GB10NRVB98154047624001 LOAN: FROM NORDVIK INFRASTR, UCTURE V SCSP TO NI V FENWICK HOLDCO LTD.., PROJECT FENWICK. 49211YZ41JZ6 FENWICK TRF S+P- 24 Mar 20",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-040,2026-03-24,"NORDVIK INFRA.V CN SC,, SHORT TERM LOAN: FROM NORDVIK, INFRASTRUCTURE V SCSP TO NORDVIK, INFRASTRUCTURE V CN SCSP. PROJECT FENWICK.",-39303.7,GBP,Investment Transfer,FENWICK,NI V CN SCSp,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-037,SRC-PDF-63C2EA76-P2,",067,379.44 08:10 24 Mar 2026 Narrative NORDVIK INFRA.V CN SC,, SHORT TERM LOAN: FROM NORDVIK, INFRASTRUCTURE V SCSP TO NORDVIK, INFRASTRUCTURE V CN SCSP. PROJECT FENWICK. J545245036302N01 NONREF S+P+ 24 Mar 202",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-041,2026-03-24,"1/NORDVIK INFRASTRUCTURE PARTNER, S+P+ CHARGE WAIVED",2100000.0,GBP,Related Party,Flag for review - no project match,NIP P/S,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-038,SRC-PDF-E15D0BF7-P1,",946,667.40 07:03 31 Mar 2026 Narrative 1/NORDVIK INFRASTRUCTURE PARTNER, S+P+ CHARGE WAIVED Balance brought forward 31 Mar 2026 4",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
