line_id,date,description,amount,currency,classification,project_code,counterparty,fund,account,account_number,bank_account,mapping_method,rule_id,rule_version,decision_id,source_id,source_excerpt,source_location,close_id,export_profile
GL-0001,2026-06-30,10010 - Cash · Cash Paid,-457213.59,EUR,Cash FX gains / losses,,,2100,10000,,,rule,RULE-COA-008,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 10010 - Cash | Cash Paid | 71 GL rows | Dr 0.00 Cr 457,213.59 EUR","{'sheet': 'Investor-Level GL', 'row': 27008}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0012,2026-06-30,40070 - Interest Income - Bank · Income: Bank Interest Received,-214.77,EUR,Income: Bank interest,,,2100,40051,,,rule,RULE-COA-080,v4c,,SRC-XLS-E80F1CD6,Ashcombe Co-Invest L.P. | 40070 - Interest Income - Bank | Income: Bank Interest Received | 12 GL rows | Dr 0.00 Cr 214.77 EUR,"{'sheet': 'Investor-Level GL', 'row': 27174}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0013,2026-06-30,40100 - Interest Income - Investments · Income: Investment Interest Accrual,-412230.34,EUR,"Income: interest income, investment related",,,2100,40020,,,rule,RULE-COA-084,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 40100 - Interest Income - Investments | Income: Investment Interest Accrual | 24 GL rows | Dr 2,019,838.54 Cr 2,432,068.88 EUR","{'sheet': 'Investor-Level GL', 'row': 27414}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0014,2026-06-30,50020 - Administration Fees · Expense: Administration Fees,7253.71,EUR,Expense: Adminstration fees,,,2100,50080,,,rule,RULE-COA-088,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 50020 - Administration Fees | Expense: Administration Fees | 48 GL rows | Dr 12,645.91 Cr 5,392.20 EUR","{'sheet': 'Investor-Level GL', 'row': 26996}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0015,2026-06-30,50040 - Audit Fees · Expense: Audit Fees (UK),90.17,EUR,Expense: Audit fees,,,2100,50090,,,rule,RULE-COA-091,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 50040 - Audit Fees | Expense: Audit Fees (UK) | 24 GL rows | Dr 6,422.10 Cr 6,331.93 EUR","{'sheet': 'Investor-Level GL', 'row': 27222}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0016,2026-06-30,50200 - Running Expenses · Expense: Bank Charges,36.67,EUR,Expense: bank charges,,,2100,50071,,,rule,RULE-COA-098,v4c,,SRC-XLS-E80F1CD6,Ashcombe Co-Invest L.P. | 50200 - Running Expenses | Expense: Bank Charges | 35 GL rows | Dr 36.67 Cr 0.00 EUR,"{'sheet': 'Investor-Level GL', 'row': 27020}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0017,2026-06-30,10010 - Cash · Cash Paid,-14210.75,USD,Cash FX gains / losses,,,7144,10000,,,rule,RULE-COA-008,v4c,,SRC-XLS-E80F1CD6,"Chalbury Co-Invest L.P. | 10010 - Cash | Cash Paid | 270 GL rows | Dr 0.00 Cr 14,210.75 USD","{'sheet': 'Investor-Level GL', 'row': 232}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0018,2026-06-30,10010 - Cash · Cash Received,127.21,USD,Cash FX gains / losses,,,7144,10000,,,rule,RULE-COA-007,v4c,,SRC-XLS-E80F1CD6,Chalbury Co-Invest L.P. | 10010 - Cash | Cash Received | 77 GL rows | Dr 127.21 Cr 0.00 USD,"{'sheet': 'Investor-Level GL', 'row': 726}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0019,2026-06-30,10170 - Investments Appreciation/(Depreciation) · Investment: Unrealised Appreciation/(Depreciation),1853566.17,USD,Investment - Equity - Unrealized appreciation,,,7144,10040,,,rule,RULE-COA-027,v4c,,SRC-XLS-E80F1CD6,"Chalbury Co-Invest L.P. | 10170 - Investments Appreciation/(Depreciation) | Investment: Unrealised Appreciation/(Depreciation) | 92 GL rows | Dr 591,497,706.62 Cr 589,644,140.45 USD","{'sheet': 'Investor-Level GL', 'row': 48}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0020,2026-06-30,20020 - Accruals · Accruals: Expenses,-195.64,USD,Accrued Expenses,,,7144,20030,,,rule,RULE-COA-034,v4c,,SRC-XLS-E80F1CD6,"Chalbury Co-Invest L.P. | 20020 - Accruals | Accruals: Expenses | 92 GL rows | Dr 21,965.49 Cr 22,161.13 USD","{'sheet': 'Investor-Level GL', 'row': 880}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0021,2026-06-30,20030 - General Partner Share Payable · Payable: General Partner Share,-25.0,USD,Management fees payable,,,7144,20015,,,rule,RULE-COA-037,v4c,,SRC-XLS-E80F1CD6,Chalbury Co-Invest L.P. | 20030 - General Partner Share Payable | Payable: General Partner Share | 92 GL rows | Dr 175.00 Cr 200.00 USD,"{'sheet': 'Investor-Level GL', 'row': 1110}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0022,2026-06-30,30040 - Income Attributed to GP re GP Share · General Partner Share Paid,25.0,USD,Expense: General Partner Profit Share,,,7144,50010,,,rule,RULE-COA-058,v4c,,SRC-XLS-E80F1CD6,Chalbury Co-Invest L.P. | 30040 - Income Attributed to GP re GP Share | General Partner Share Paid | 92 GL rows | Dr 200.00 Cr 175.00 USD,"{'sheet': 'Investor-Level GL', 'row': 1156}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0023,2026-06-30,40030 - Unrealised Gain/(Loss) - Investments · Unrealised Gain/(Loss):  Gain on Investments,-1853566.17,USD,Unrealised Gain: Investments,,,7144,40066,,,rule,RULE-COA-073,v4c,,SRC-XLS-E80F1CD6,"Chalbury Co-Invest L.P. | 40030 - Unrealised Gain/(Loss) - Investments | Unrealised Gain/(Loss):  Gain on Investments | 92 GL rows | Dr 589,644,140.45 Cr 591,497,706.62 USD","{'sheet': 'Investor-Level GL', 'row': 2}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0024,2026-06-30,40070 - Interest Income - Bank · Income: Bank Interest Received,-127.21,USD,Income: Bank interest,,,7144,40051,,,rule,RULE-COA-080,v4c,,SRC-XLS-E80F1CD6,Chalbury Co-Invest L.P. | 40070 - Interest Income - Bank | Income: Bank Interest Received | 77 GL rows | Dr 0.00 Cr 127.21 USD,"{'sheet': 'Investor-Level GL', 'row': 747}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0025,2026-06-30,50020 - Administration Fees · Expense: Administration Fees,7711.39,USD,Expense: Adminstration fees,,,7144,50080,,,rule,RULE-COA-088,v4c,,SRC-XLS-E80F1CD6,"Chalbury Co-Invest L.P. | 50020 - Administration Fees | Expense: Administration Fees | 138 GL rows | Dr 14,959.19 Cr 7,247.80 USD","{'sheet': 'Investor-Level GL', 'row': 186}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0026,2026-06-30,50040 - Audit Fees · Expense: Audit Fees (UK),4468.96,USD,Expense: Audit fees,,,7144,50090,,,rule,RULE-COA-091,v4c,,SRC-XLS-E80F1CD6,"Chalbury Co-Invest L.P. | 50040 - Audit Fees | Expense: Audit Fees (UK) | 46 GL rows | Dr 4,468.96 Cr 0.00 USD","{'sheet': 'Investor-Level GL', 'row': 546}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0027,2026-06-30,50040 - Audit Fees · Expense: Audit Fees (US),100.0,USD,Expense: Audit fees,,,7144,50090,,,rule,RULE-COA-090,v4c,,SRC-XLS-E80F1CD6,"Chalbury Co-Invest L.P. | 50040 - Audit Fees | Expense: Audit Fees (US) | 92 GL rows | Dr 7,400.00 Cr 7,300.00 USD","{'sheet': 'Investor-Level GL', 'row': 926}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0028,2026-06-30,50050 - Tax Compliance Fees · Expense: Tax Fees (UK),2038.12,USD,Expense: Professional fee - Taxation Services,,,7144,50140,,,rule,RULE-COA-092,v4c,,SRC-XLS-E80F1CD6,"Chalbury Co-Invest L.P. | 50050 - Tax Compliance Fees | Expense: Tax Fees (UK) | 138 GL rows | Dr 5,499.71 Cr 3,461.59 USD","{'sheet': 'Investor-Level GL', 'row': 366}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0029,2026-06-30,50050 - Tax Compliance Fees · Expense: Tax Fees (US),25.8,USD,Expense: Professional fee - Taxation Services,,,7144,50140,,,rule,RULE-COA-093,v4c,,SRC-XLS-E80F1CD6,"Chalbury Co-Invest L.P. | 50050 - Tax Compliance Fees | Expense: Tax Fees (US) | 92 GL rows | Dr 3,981.90 Cr 3,956.10 USD","{'sheet': 'Investor-Level GL', 'row': 1064}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0030,2026-06-30,50200 - Running Expenses · Expense: Bank Charges,62.12,USD,Expense: bank charges,,,7144,50071,,,rule,RULE-COA-098,v4c,,SRC-XLS-E80F1CD6,Chalbury Co-Invest L.P. | 50200 - Running Expenses | Expense: Bank Charges | 132 GL rows | Dr 62.12 Cr 0.00 USD,"{'sheet': 'Investor-Level GL', 'row': 278}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0031,2026-06-30,10010 - Cash · Cash Paid,-13247.42,USD,Cash FX gains / losses,,,9342,10000,,,rule,RULE-COA-008,v4c,,SRC-XLS-E80F1CD6,"D6 Co-Invest L.P. | 10010 - Cash | Cash Paid | 7 GL rows | Dr 0.00 Cr 13,247.42 USD","{'sheet': 'Investor-Level GL', 'row': 24951}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0032,2026-06-30,10010 - Cash · Cash Received,71.79,USD,Cash FX gains / losses,,,9342,10000,,,rule,RULE-COA-007,v4c,,SRC-XLS-E80F1CD6,D6 Co-Invest L.P. | 10010 - Cash | Cash Received | 2 GL rows | Dr 71.79 Cr 0.00 USD,"{'sheet': 'Investor-Level GL', 'row': 24964}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0033,2026-06-30,10170 - Investments Appreciation/(Depreciation) · Investment: Unrealised Appreciation/(Depreciation),3328321.69,USD,Investment - Equity - Unrealized appreciation,,,9342,10040,,,rule,RULE-COA-027,v4c,,SRC-XLS-E80F1CD6,"D6 Co-Invest L.P. | 10170 - Investments Appreciation/(Depreciation) | Investment: Unrealised Appreciation/(Depreciation) | 4 GL rows | Dr 163,516,137.85 Cr 160,187,816.16 USD","{'sheet': 'Investor-Level GL', 'row': 24947}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0034,2026-06-30,20020 - Accruals · Accruals: Expenses,-163.09,USD,Accrued Expenses,,,9342,20030,,,rule,RULE-COA-034,v4c,,SRC-XLS-E80F1CD6,"D6 Co-Invest L.P. | 20020 - Accruals | Accruals: Expenses | 2 GL rows | Dr 20,974.87 Cr 21,137.96 USD","{'sheet': 'Investor-Level GL', 'row': 24968}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0035,2026-06-30,20030 - General Partner Share Payable · Payable: General Partner Share,-25.0,USD,Management fees payable,,,9342,20015,,,rule,RULE-COA-037,v4c,,SRC-XLS-E80F1CD6,D6 Co-Invest L.P. | 20030 - General Partner Share Payable | Payable: General Partner Share | 2 GL rows | Dr 226.00 Cr 251.00 USD,"{'sheet': 'Investor-Level GL', 'row': 24973}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0036,2026-06-30,30040 - Income Attributed to GP re GP Share · General Partner Share Paid,25.0,USD,Expense: General Partner Profit Share,,,9342,50010,,,rule,RULE-COA-058,v4c,,SRC-XLS-E80F1CD6,D6 Co-Invest L.P. | 30040 - Income Attributed to GP re GP Share | General Partner Share Paid | 2 GL rows | Dr 251.00 Cr 226.00 USD,"{'sheet': 'Investor-Level GL', 'row': 24974}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0037,2026-06-30,40030 - Unrealised Gain/(Loss) - Investments · Unrealised Gain/(Loss):  Gain on Investments,-3328321.69,USD,Unrealised Gain: Investments,,,9342,40066,,,rule,RULE-COA-073,v4c,,SRC-XLS-E80F1CD6,"D6 Co-Invest L.P. | 40030 - Unrealised Gain/(Loss) - Investments | Unrealised Gain/(Loss):  Gain on Investments | 4 GL rows | Dr 160,187,816.16 Cr 163,516,137.85 USD","{'sheet': 'Investor-Level GL', 'row': 24946}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0038,2026-06-30,40070 - Interest Income - Bank · Income: Bank Interest Received,-71.79,USD,Income: Bank interest,,,9342,40051,,,rule,RULE-COA-080,v4c,,SRC-XLS-E80F1CD6,D6 Co-Invest L.P. | 40070 - Interest Income - Bank | Income: Bank Interest Received | 2 GL rows | Dr 0.00 Cr 71.79 USD,"{'sheet': 'Investor-Level GL', 'row': 24965}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0039,2026-06-30,50020 - Administration Fees · Expense: Administration Fees,6585.92,USD,Expense: Adminstration fees,,,9342,50080,,,rule,RULE-COA-088,v4c,,SRC-XLS-E80F1CD6,"D6 Co-Invest L.P. | 50020 - Administration Fees | Expense: Administration Fees | 3 GL rows | Dr 12,799.20 Cr 6,213.28 USD","{'sheet': 'Investor-Level GL', 'row': 24958}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0040,2026-06-30,50040 - Audit Fees · Expense: Audit Fees (UK),4568.96,USD,Expense: Audit fees,,,9342,50090,,,rule,RULE-COA-091,v4c,,SRC-XLS-E80F1CD6,"D6 Co-Invest L.P. | 50040 - Audit Fees | Expense: Audit Fees (UK) | 3 GL rows | Dr 11,868.96 Cr 7,300.00 USD","{'sheet': 'Investor-Level GL', 'row': 24954}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0041,2026-06-30,50050 - Tax Compliance Fees · Expense: Tax Fees (UK),2038.12,USD,Expense: Professional fee - Taxation Services,,,9342,50140,,,rule,RULE-COA-092,v4c,,SRC-XLS-E80F1CD6,"D6 Co-Invest L.P. | 50050 - Tax Compliance Fees | Expense: Tax Fees (UK) | 3 GL rows | Dr 5,499.71 Cr 3,461.59 USD","{'sheet': 'Investor-Level GL', 'row': 24950}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0042,2026-06-30,50050 - Tax Compliance Fees · Expense: Tax Fees (US),0.0,USD,Expense: Professional fee - Taxation Services,,,9342,50140,,,rule,RULE-COA-093,v4c,,SRC-XLS-E80F1CD6,"D6 Co-Invest L.P. | 50050 - Tax Compliance Fees | Expense: Tax Fees (US) | 2 GL rows | Dr 4,000.00 Cr 4,000.00 USD","{'sheet': 'Investor-Level GL', 'row': 24972}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0043,2026-06-30,50200 - Running Expenses · Expense: Bank Charges,217.51,USD,Expense: bank charges,,,9342,50071,,,rule,RULE-COA-098,v4c,,SRC-XLS-E80F1CD6,D6 Co-Invest L.P. | 50200 - Running Expenses | Expense: Bank Charges | 4 GL rows | Dr 217.51 Cr 0.00 USD,"{'sheet': 'Investor-Level GL', 'row': 24952}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0044,2026-06-30,10010 - Cash · Cash Paid,-6564.14,USD,Cash FX gains / losses,,,3301,10000,,,rule,RULE-COA-008,v4c,,SRC-XLS-E80F1CD6,"D7 Co-Invest L.P | 10010 - Cash | Cash Paid | 6 GL rows | Dr 75,000,000.00 Cr 75,006,564.14 USD","{'sheet': 'Investor-Level GL', 'row': 27483}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0045,2026-06-30,10010 - Cash · Cash Received,50029.45,USD,Cash FX gains / losses,,,3301,10000,,,rule,RULE-COA-007,v4c,,SRC-XLS-E80F1CD6,"D7 Co-Invest L.P | 10010 - Cash | Cash Received | 3 GL rows | Dr 50,029.45 Cr 0.00 USD","{'sheet': 'Investor-Level GL', 'row': 27485}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0046,2026-06-30,10050 - Sundry Receivables · Receivable: Other,-75000000.0,USD,Other receivables,,,3301,10022,,,rule,RULE-COA-013,v4c,,SRC-XLS-E80F1CD6,"D7 Co-Invest L.P | 10050 - Sundry Receivables | Receivable: Other | 1 GL rows | Dr 0.00 Cr 75,000,000.00 USD","{'sheet': 'Investor-Level GL', 'row': 27498}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0047,2026-06-30,10140 - Investments · Investment Equity: Purchase,75000000.0,USD,Investment - Equity - Purchase,,,3301,10030,,,rule,RULE-COA-017,v4c,,SRC-XLS-E80F1CD6,"D7 Co-Invest L.P | 10140 - Investments | Investment Equity: Purchase | 1 GL rows | Dr 75,000,000.00 Cr 0.00 USD","{'sheet': 'Investor-Level GL', 'row': 27478}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0048,2026-06-30,10170 - Investments Appreciation/(Depreciation) · Investment: Unrealised Appreciation/(Depreciation),4279535.44,USD,Investment - Equity - Unrealized appreciation,,,3301,10040,,,rule,RULE-COA-027,v4c,,SRC-XLS-E80F1CD6,"D7 Co-Invest L.P | 10170 - Investments Appreciation/(Depreciation) | Investment: Unrealised Appreciation/(Depreciation) | 6 GL rows | Dr 317,523,715.78 Cr 313,244,180.34 USD","{'sheet': 'Investor-Level GL', 'row': 27475}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0049,2026-06-30,20010 - Creditors · Payable: Other,-43295.34,USD,Other payables,,,3301,20022,,,rule,RULE-COA-031,v4c,,SRC-XLS-E80F1CD6,"D7 Co-Invest L.P | 20010 - Creditors | Payable: Other | 7 GL rows | Dr 23,717.94 Cr 67,013.28 USD","{'sheet': 'Investor-Level GL', 'row': 27484}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0050,2026-06-30,20020 - Accruals · Accruals: Expenses,-140.52,USD,Accrued Expenses,,,3301,20030,,,rule,RULE-COA-034,v4c,,SRC-XLS-E80F1CD6,"D7 Co-Invest L.P | 20020 - Accruals | Accruals: Expenses | 2 GL rows | Dr 17,013.28 Cr 17,153.80 USD","{'sheet': 'Investor-Level GL', 'row': 27492}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0051,2026-06-30,20030 - General Partner Share Payable · Payable: General Partner Share,-25.0,USD,Management fees payable,,,3301,20015,,,rule,RULE-COA-037,v4c,,SRC-XLS-E80F1CD6,D7 Co-Invest L.P | 20030 - General Partner Share Payable | Payable: General Partner Share | 2 GL rows | Dr 211.00 Cr 236.00 USD,"{'sheet': 'Investor-Level GL', 'row': 27490}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0052,2026-06-30,30040 - Income Attributed to GP re GP Share · General Partner Share Paid,25.0,USD,Expense: General Partner Profit Share,,,3301,50010,,,rule,RULE-COA-058,v4c,,SRC-XLS-E80F1CD6,D7 Co-Invest L.P | 30040 - Income Attributed to GP re GP Share | General Partner Share Paid | 2 GL rows | Dr 236.00 Cr 211.00 USD,"{'sheet': 'Investor-Level GL', 'row': 27491}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0053,2026-06-30,40030 - Unrealised Gain/(Loss) - Investments · Unrealised Gain/(Loss):  Gain on Investments,-4279535.44,USD,Unrealised Gain: Investments,,,3301,40066,,,rule,RULE-COA-073,v4c,,SRC-XLS-E80F1CD6,"D7 Co-Invest L.P | 40030 - Unrealised Gain/(Loss) - Investments | Unrealised Gain/(Loss):  Gain on Investments | 6 GL rows | Dr 313,244,180.34 Cr 317,523,715.78 USD","{'sheet': 'Investor-Level GL', 'row': 27474}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0054,2026-06-30,40070 - Interest Income - Bank · Income: Bank Interest Received,-29.45,USD,Income: Bank interest,,,3301,40051,,,rule,RULE-COA-080,v4c,,SRC-XLS-E80F1CD6,D7 Co-Invest L.P | 40070 - Interest Income - Bank | Income: Bank Interest Received | 2 GL rows | Dr 0.00 Cr 29.45 USD,"{'sheet': 'Investor-Level GL', 'row': 27487}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0055,2026-06-30,50020 - Administration Fees · Expense: Administration Fees,27322.4,USD,Expense: Adminstration fees,,,3301,50080,,,rule,RULE-COA-088,v4c,,SRC-XLS-E80F1CD6,"D7 Co-Invest L.P | 50020 - Administration Fees | Expense: Administration Fees | 1 GL rows | Dr 27,322.40 Cr 0.00 USD","{'sheet': 'Investor-Level GL', 'row': 27508}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0056,2026-06-30,50200 - Running Expenses · Expense: Other Expenses,-27322.4,USD,Expense: sundry expenses,,,3301,50070,,,rule,RULE-COA-100,v4c,,SRC-XLS-E80F1CD6,"D7 Co-Invest L.P | 50200 - Running Expenses | Expense: Other Expenses | 1 GL rows | Dr 0.00 Cr 27,322.40 USD","{'sheet': 'Investor-Level GL', 'row': 27509}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
